id,scenarioname,periodname,sitename,sitetype,productname,cost,revenue,quantity,perunitcost,perunitrevenue,perunittransportationcost,perunitshipmentcost,perunitintransitholdingcost,perunitdutycost,perunitproductioncost,perunitprebuildholdingcost,perunitturnestimatedholdingcost,perunitstoragecost,perunitsourcingcost,perunitfacilityfixedoperatingcost,perunitfacilityfixedstartupcost,perunitfacilityfixedclosingcost,perunitworkcenterfixedoperatingcost,perunitworkcenterfixedstartupcost,perunitworkcenterfixedclosingcost,perunitinboundhandlingcost,perunitoutboundhandlingcost,perunitprocesscost,perunituserdefinedcost,latitude,longitude
267,4. Max Emissions Cap,SinglePeriod,CZ_Fresno,Customer,FG_0001,8904382.349781167,0.0,645.0,13805.243953149095,0.0,7871.992521062723,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,36.739442,-119.784831
268,4. Max Emissions Cap,SinglePeriod,CZ_Seattle,Customer,FG_0002,7747725.600837452,0.0,505.0,15342.030892747433,0.0,9772.620356986363,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,47.603832,-122.330062
269,4. Max Emissions Cap,SinglePeriod,CZ_Pittsburgh,Customer,FG_0002,8237010.812864354,0.0,729.0,11299.054612982654,0.0,5729.644077221583,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,40.441694,-79.990086
270,4. Max Emissions Cap,SinglePeriod,CZ_Raleigh,Customer,FG_0002,10355417.420001645,0.0,862.0,12013.245266823254,0.0,6443.834731062182,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,35.780398,-78.639099
271,4. Max Emissions Cap,SinglePeriod,CZ_Atlanta,Customer,FG_0002,10811809.728314346,0.0,885.0,12216.734156287395,0.0,6647.323620526324,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,33.748992,-84.390264
272,4. Max Emissions Cap,SinglePeriod,CZ_Salt Lake City,Customer,FG_0002,13385703.83527432,0.0,936.0,14300.965635976838,0.0,8731.555100215766,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,40.75962,-111.886798
273,4. Max Emissions Cap,SinglePeriod,CZ_Fresno,Customer,FG_0002,11124425.623746596,0.0,720.0,15450.591144092494,0.0,9881.180608331422,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,36.739442,-119.784831
274,4. Max Emissions Cap,NA,UnassignableEnd,,NA,9500000.0,,1.0,9500000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
275,Baseline,SinglePeriod,CZ_Seattle,Customer,FG_0001,12244835.229412805,0.0,894.0,13696.683701804033,0.0,7763.432269717662,0.0,0.0,0.0,3962.517788389232,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,47.603832,-122.330062
276,Baseline,SinglePeriod,CZ_Pittsburgh,Customer,FG_0001,6226641.287215322,0.0,645.0,9653.707422039259,0.0,3720.455989952884,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,40.441694,-79.990086
277,Baseline,SinglePeriod,CZ_Raleigh,Customer,FG_0001,5194316.936015809,0.0,501.0,10367.898075879859,0.0,4434.646643793484,0.0,0.0,0.0,3962.517788389232,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,35.780398,-78.639099
278,Baseline,SinglePeriod,CZ_Atlanta,Customer,FG_0001,8541680.66799795,0.0,808.0,10571.386965343998,0.0,4638.135533257626,0.0,0.0,0.0,3962.517788389232,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,33.748992,-84.390264
279,Baseline,SinglePeriod,CZ_Salt Lake City,Customer,FG_0001,7947728.383481002,0.0,628.0,12655.618445033442,0.0,6722.367012947068,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,40.75962,-111.886798
280,Baseline,SinglePeriod,CZ_Fresno,Customer,FG_0001,8904382.349781167,0.0,645.0,13805.243953149095,0.0,7871.992521062723,0.0,0.0,0.0,3962.517788389233,0.0,0.0,0.0,0.0,1270.73364369714,0.0,0.0,0.0,0.0,0.0,500.0,200.0,0.0,0.0,36.739442,-119.784831
281,Baseline,SinglePeriod,CZ_Seattle,Customer,FG_0002,7747725.600837452,0.0,505.0,15342.030892747433,0.0,9772.620356986363,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,47.603832,-122.330062
282,Baseline,SinglePeriod,CZ_Pittsburgh,Customer,FG_0002,8237010.812864354,0.0,729.0,11299.054612982654,0.0,5729.644077221583,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,40.441694,-79.990086
283,Baseline,SinglePeriod,CZ_Raleigh,Customer,FG_0002,10355417.420001645,0.0,862.0,12013.245266823254,0.0,6443.834731062182,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,35.780398,-78.639099
284,Baseline,SinglePeriod,CZ_Atlanta,Customer,FG_0002,10811809.728314346,0.0,885.0,12216.734156287395,0.0,6647.323620526324,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,33.748992,-84.390264
285,Baseline,SinglePeriod,CZ_Salt Lake City,Customer,FG_0002,13385703.83527432,0.0,936.0,14300.965635976838,0.0,8731.555100215766,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,40.75962,-111.886798
286,Baseline,SinglePeriod,CZ_Fresno,Customer,FG_0002,11124425.623746596,0.0,720.0,15450.591144092494,0.0,9881.180608331422,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,919.410535761071,0.0,0.0,0.0,0.0,0.0,300.0,100.0,0.0,0.0,36.739442,-119.784831
287,Baseline,NA,UnassignableEnd,,NA,9500000.0,,1.0,9500000.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9500000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
