id,scenarioname,periodname,facilityname,productname,activitytype,cost,quantity,perunitcost,perunittransportationcost,perunitshipmentcost,perunitintransitholdingcost,perunitdutycost,perunitproductioncost,perunitprebuildholdingcost,perunitturnestimatedholdingcost,perunitstoragecost,perunitsourcingcost,perunitfacilityfixedoperatingcost,perunitfacilityfixedstartupcost,perunitfacilityfixedclosingcost,perunitworkcenterfixedoperatingcost,perunitworkcenterfixedstartupcost,perunitworkcenterfixedclosingcost,perunitinboundhandlingcost,perunitoutboundhandlingcost,perunitprocesscost,perunituserdefinedcost,latitude,longitude
425,1. China 2 MFGs Only,SinglePeriod,Port_Long Beach,FG_0002,FacilityPostFixedCost,34116671.16810677,4637.0,7357.487851651234,1863.359678260041,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.769016,-118.191604
426,1. China 2 MFGs Only,SinglePeriod,DC_Detroit,FG_0001,Facility,40935067.66097648,4121.0,9933.285042702373,5249.257462021704,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,42.331551,-83.04664
427,1. China 2 MFGs Only,SinglePeriod,DC_Detroit,FG_0002,Facility,51666793.671394,4637.0,11142.288909077852,5348.160735686659,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,42.331551,-83.04664
428,1. China 2 MFGs Only,SinglePeriod,DC_Detroit,FG_0001,FacilityPostFixedCost,40935067.66097648,4121.0,9933.285042702373,5249.257462021704,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,784.02758068067,0.0,0.0,0.0,0.0,0.0,500.0,0.0,0.0,0.0,42.331551,-83.04664
429,1. China 2 MFGs Only,SinglePeriod,DC_Detroit,FG_0002,FacilityPostFixedCost,51666793.671394,4637.0,11142.288909077852,5348.160735686659,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,1244.128173391192,0.0,0.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,42.331551,-83.04664
430,3. All 4 MFGs,SinglePeriod,MFG_Shanghai,FG_0001,Facility,875297.0996051764,257.440323413287,3400.0,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
431,3. All 4 MFGs,SinglePeriod,MFG_Belo Horizonte,FG_0001,Facility,15454238.706346853,3863.559676586713,4000.0,0.0,0.0,0.0,0.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-19.9227,-43.9451
432,3. All 4 MFGs,SinglePeriod,MFG_Chengdu,FG_0002,Facility,5131290.195466729,1207.362398933348,4250.0,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.659863,104.063372
433,3. All 4 MFGs,SinglePeriod,MFG_Shanghai,FG_0002,Facility,12010314.70679991,2825.956401599978,4250.0,0.0,0.0,0.0,0.0,4250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.2322758,121.4692071
434,3. All 4 MFGs,SinglePeriod,MFG_Ho Chi Minh,FG_0002,Facility,3018405.997333369,603.681199466674,5000.0,0.0,0.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.7758439,106.7017555
