id,scenarioname,periodname,facilityname,initialstate,initialstatus,optimizedstatus,totalfacilitycost,operatingcost,startupcost,closingcost,totalinboundhandlingcost,totaloutboundhandlingcost,totalprebuildholdingcost,totalturnestimatedholdingcost,totalstoragecost,totalintransitholdingcost,totalproductioncost,totalprocesscost,totalinboundquantity,totaloutboundquantity,totalinventoryquantity,totalproductionquantity,quantityuom,totalinboundvolume,totaloutboundvolume,totalinventoryvolume,totalproductionvolume,volumeuom,totalinboundweight,totaloutboundweight,totalinventoryweight,totalproductionweight,weightuom,throughputcapacity,throughputcapacityuom,throughpututilization,storagecapacity,storagecapacityuom,storageutilization,facilityriskscore,concentrationrisk,sourcecountrisk,utilizationrisk,geographicrisk,latitude,longitude,totalstockingcost,totaldestockingcost,userdefinedrisk
1014,4. Max Emissions Cap,SinglePeriod,MFG_Shanghai,existing,Open,Open,25082547.099605177,4500000.0,0,0,0.0,0.0,0,0,0,0.0,20582547.099605177,0,0.0,4894.440323413287,0,39738.691600567,EA,0.0,4894.440323413287,0,39738.691600567,CFT,0.0,4894.440323413287,0,39738.691600567,LB,,"",,,"",,5.044147629561,7.382804847134,,,3.640953299017,31.2322758,121.4692071,,,
1015,4. Max Emissions Cap,SinglePeriod,MFG_Chengdu,existing,Open,Open,4500000.0,4500000.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,2.323460364768,1.0,,,3.117536583628,30.659863,104.063372,,,
1016,4. Max Emissions Cap,SinglePeriod,MFG_Ho Chi Minh,existing,Open,Open,5000000.0,5000000.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,4.067942227253,1.0,,,5.908707563605,10.7758439,106.7017555,,,
1017,4. Max Emissions Cap,SinglePeriod,MFG_Belo Horizonte,existing,Open,Open,20454238.70634686,5000000.0,0,0,0.0,0.0,0,0,0,0.0,15454238.706346853,0,0.0,3863.559676586713,0,20000.000000000004,EA,0.0,3863.559676586713,0,20000.000000000004,CFT,0.0,3863.559676586713,0,20000.000000000004,LB,,"",,,"",,5.794275772925,5.617195152866,,,5.900524144961,-19.9227,-43.9451,,,
1018,4. Max Emissions Cap,SinglePeriod,MFG_Overflow,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,1.0,1.0,,,,,,,,
1019,Baseline,SinglePeriod,DC_Detroit,existing,Open,Open,4739500.0,0.0,0,0,3451600.0,1287900.0,0,0,0,0.0,0.0,0,8758.0,8758.0,0,0.0,EA,8758.0,8758.0,0,0.0,CFT,8758.0,8758.0,0,0.0,LB,,"",,,"",,6.322848471548,10.0,9.0,,3.045696943096,42.331551,-83.04664,,,
1020,Baseline,SinglePeriod,Port_Boston,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,3863.559676586713,3863.559676586713,0,0.0,EA,3863.559676586713,3863.559676586713,0,0.0,CFT,3863.559676586713,3863.559676586713,0,0.0,LB,,"",,,"",,5.592990306472,5.617195152866,10.0,,3.815663521225,42.360253,-71.058291,,,
1021,Baseline,SinglePeriod,Port_Long Beach,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4894.440323413287,4894.440323413287,0,0.0,EA,4894.440323413287,4894.440323413287,0,0.0,CFT,4894.440323413287,4894.440323413287,0,0.0,LB,,"",,,"",,5.413126984341,7.382804847134,10.0,,2.396571060402,33.769016,-118.191604,,,
1022,Baseline,SinglePeriod,Port_Hong Kong,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,4894.440323413287,4894.440323413287,0,0.0,EA,4894.440323413287,4894.440323413287,0,0.0,CFT,4894.440323413287,4894.440323413287,0,0.0,LB,,"",,,"",,5.750763909068,7.382804847134,10.0,,3.071844909857,22.2996535,114.1675485,,,
1023,Baseline,SinglePeriod,Port_Kuala Lumpur,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,3.487325374541,1.0,,,4.979720599266,3.1516964,101.6942371,,,
1024,Baseline,SinglePeriod,Port_Recife,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,3863.559676586713,3863.559676586713,0,0.0,EA,3863.559676586713,3863.559676586713,0,0.0,CFT,3863.559676586713,3863.559676586713,0,0.0,LB,,"",,,"",,6.63542061834,5.617195152866,10.0,,5.900524144961,-8.0642,-34.8782,,,
1025,Baseline,SinglePeriod,MFG_Shanghai,existing,Open,Open,25082547.099605177,4500000.0,0,0,0.0,0.0,0,0,0,0.0,20582547.099605177,0,0.0,4894.440323413287,0,39738.691600567,EA,0.0,4894.440323413287,0,39738.691600567,CFT,0.0,4894.440323413287,0,39738.691600567,LB,,"",,,"",,5.044147629561,7.382804847134,,,3.640953299017,31.2322758,121.4692071,,,
1026,Baseline,SinglePeriod,MFG_Chengdu,existing,Open,Open,4500000.0,4500000.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,2.323460364768,1.0,,,3.117536583628,30.659863,104.063372,,,
1027,Baseline,SinglePeriod,MFG_Ho Chi Minh,existing,Open,Open,5000000.0,5000000.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,4.067942227253,1.0,,,5.908707563605,10.7758439,106.7017555,,,
1028,Baseline,SinglePeriod,MFG_Belo Horizonte,existing,Open,Open,20454238.70634686,5000000.0,0,0,0.0,0.0,0,0,0,0.0,15454238.706346853,0,0.0,3863.559676586713,0,20000.000000000004,EA,0.0,3863.559676586713,0,20000.000000000004,CFT,0.0,3863.559676586713,0,20000.000000000004,LB,,"",,,"",,5.794275772925,5.617195152866,,,5.900524144961,-19.9227,-43.9451,,,
1029,Baseline,SinglePeriod,MFG_Overflow,existing,Open,Open,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0.0,0.0,0,0.0,EA,0.0,0.0,0,0.0,CFT,0.0,0.0,0,0.0,LB,,"",,,"",,1.0,1.0,,,,,,,,
