id,scenarioname,startingperiodname,completionperiodname,facilityname,productname,bomname,processname,productionquantity,productionquantityuom,productionvolume,productionvolumeuom,productionweight,productionweightuom,productioncost,processcost,productiontime,productiontimeuom,latitude,longitude
1503,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Ho Chi Minh,Water_1,None,None,45.457096468563,EA,45.457096468563,CFT,45.457096468563,LB,0.0,0,0,HR,10.7758439,106.7017555
1504,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,Water_1,None,None,682.201617066437,EA,682.201617066437,CFT,682.201617066437,LB,0.0,0,0,HR,-19.9227,-43.9451
1505,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Ho Chi Minh,Water_2,None,None,1310.032887032,EA,1310.032887032,CFT,1310.032887032,LB,0.0,0,0,HR,10.7758439,106.7017555
1506,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Ho Chi Minh,FG_0001,BOM_FG_0001,None,257.440323413287,EA,257.440323413287,CFT,257.440323413287,LB,1029761.2936531478,0,0,HR,10.7758439,106.7017555
1507,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,FG_0001,BOM_FG_0001,None,3863.559676586713,EA,3863.559676586713,CFT,3863.559676586713,LB,15454238.706346853,0,0,HR,-19.9227,-43.9451
1508,2. Brazil and Vietnam MFG Only,SinglePeriod,SinglePeriod,MFG_Ho Chi Minh,FG_0002,BOM_FG_0002,None,4637.0,EA,4637.0,CFT,4637.0,LB,23185000.0,0,0,HR,10.7758439,106.7017555
1509,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Shanghai,RM_0001,None,None,514.880646826574,EA,514.880646826574,CFT,514.880646826574,LB,0.0,0,0,HR,31.2322758,121.4692071
1510,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Belo Horizonte,RM_0001,None,None,7727.119353173426,EA,7727.119353173426,CFT,7727.119353173426,LB,0.0,0,0,HR,-19.9227,-43.9451
1511,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Shanghai,RM_0002,None,None,13911.0,EA,13911.0,CFT,13911.0,LB,0.0,0,0,HR,31.2322758,121.4692071
1512,4. Max Emissions Cap,SinglePeriod,SinglePeriod,MFG_Shanghai,Pack_Style_1,None,None,514.880646826574,EA,514.880646826574,CFT,514.880646826574,LB,0.0,0,0,HR,31.2322758,121.4692071
