id,scenarioname,departingperiodname,arrivingperiodname,flowtype,originname,destinationname,productname,modename,flowquantity,flowquantityuom,flowweight,flowweightuom,flowvolume,flowvolumeuom,sourcingcost,transportationcost,shipmentcost,dutycost,intransitholdingcost,totalcost,transportdistance,transportdistanceuom,transporttime,transporttimeuom,transporttimerisk,timetoimportrisk,timetoexportrisk,originlatitude,originlongitude,destinationlatitude,destinationlongitude,inboundhandlingcost,outboundhandlingcost
2234,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Raleigh,FG_0002,LTL,862.0,EA,862.0,LB,862.0,CFT,0.0,1029725.6059128925,0,0.0,0.0,1029725.6059128925,597.288634520239,MI,10.859793354913,HR,5.214948338728,1.0,1.0,42.331551,-83.04664,35.780398,-78.639099,0.0,86200.0
2235,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Atlanta,FG_0001,LTL,808.0,EA,808.0,LB,808.0,CFT,0.0,1129637.4560717333,0,0.0,0.0,1129637.4560717333,699.03307925231,MI,12.709692350042,HR,5.677423087511,1.0,1.0,42.331551,-83.04664,33.748992,-84.390264,0.0,161600.0
2236,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Atlanta,FG_0002,LTL,885.0,EA,885.0,LB,885.0,CFT,0.0,1237288.550276589,0,0.0,0.0,1237288.550276589,699.03307925231,MI,12.709692350042,HR,5.677423087511,1.0,1.0,42.331551,-83.04664,33.748992,-84.390264,0.0,88500.0
2237,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Salt Lake City,FG_0001,LTL,628.0,EA,628.0,LB,628.0,CFT,0.0,2186882.9167858716,0,0.0,0.0,2186882.9167858716,1741.148819097032,MI,31.65725125631,HR,10.0,1.0,1.0,42.331551,-83.04664,40.75962,-111.886798,0.0,125600.0
2238,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Salt Lake City,FG_0002,LTL,936.0,EA,936.0,LB,936.0,CFT,0.0,3259430.5893496433,0,0.0,0.0,3259430.5893496433,1741.148819097032,MI,31.65725125631,HR,10.0,1.0,1.0,42.331551,-83.04664,40.75962,-111.886798,0.0,93600.0
2239,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Fresno,FG_0001,LTL,645.0,EA,645.0,LB,645.0,CFT,0.0,2987590.429369767,0,0.0,0.0,2987590.429369767,2315.961573154859,MI,42.108392239179,HR,10.0,1.0,1.0,42.331551,-83.04664,36.739442,-119.784831,0.0,129000.0
2240,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Fresno,FG_0002,LTL,720.0,EA,720.0,LB,720.0,CFT,0.0,3334984.665342997,0,0.0,0.0,3334984.665342997,2315.961573154859,MI,42.108392239179,HR,10.0,1.0,1.0,42.331551,-83.04664,36.739442,-119.784831,0.0,72000.0
2241,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,Replenishment,MFG_Chengdu,Port_Hong Kong,FG_0002,FTL,3018.405997333369,EA,3018.405997333369,LB,3018.405997333369,CFT,0.0,4503452.417164764,0,0.0,0.0,4503452.417164764,994.664605787154,MI,18.084811014312,HR,7.021202753578,1.0,1.0,30.659863,104.063372,22.2996535,114.1675485,0.0,0.0
2242,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,Replenishment,MFG_Shanghai,Port_Hong Kong,FG_0001,FTL,4121.0,EA,4121.0,LB,4121.0,CFT,0.0,5522377.424987377,0,0.0,0.0,5522377.424987377,893.371742293517,MI,16.243122587155,HR,6.560780646789,1.0,1.0,31.2322758,121.4692071,22.2996535,114.1675485,0.0,0.0
2243,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,Replenishment,MFG_Shanghai,Port_Hong Kong,FG_0002,FTL,1618.594002666631,EA,1618.594002666631,LB,1618.594002666631,CFT,0.0,2169009.216342189,0,0.0,0.0,2169009.216342189,893.371742293517,MI,16.243122587155,HR,6.560780646789,1.0,1.0,31.2322758,121.4692071,22.2996535,114.1675485,0.0,0.0
2244,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,Replenishment,Port_Long Beach,DC_Detroit,FG_0001,FTL,4121.0,EA,4121.0,LB,4121.0,CFT,0.0,14360865.157655088,0,0.0,0.0,14360865.157655088,2323.200704951078,MI,42.240012817292,HR,10.0,1.0,1.0,33.769016,-118.191604,42.331551,-83.04664,2060500.0,0.0
2245,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,Replenishment,Port_Long Beach,DC_Detroit,FG_0002,FTL,4637.0,EA,4637.0,LB,4637.0,CFT,0.0,16159022.503287224,0,0.0,0.0,16159022.503287224,2323.200704951078,MI,42.240012817292,HR,10.0,1.0,1.0,33.769016,-118.191604,42.331551,-83.04664,1391100.0,0.0
2246,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,Replenishment,Port_Hong Kong,Port_Long Beach,FG_0001,Ocean,4121.0,EA,4121.0,LB,4121.0,CFT,0.0,1748947.4183489745,0,0.0,0.0,1748947.4183489745,8487.975823096212,MI,154.326833147204,HR,10.0,2.333333333333,2.333333333333,22.2996535,114.1675485,33.769016,-118.191604,0.0,0.0
2247,1. China 2 MFGs Only,SinglePeriod,SinglePeriod,Replenishment,Port_Hong Kong,Port_Long Beach,FG_0002,Ocean,4637.0,EA,4637.0,LB,4637.0,CFT,0.0,1967937.194584857,0,0.0,0.0,1967937.194584857,8487.975823096212,MI,154.326833147204,HR,10.0,2.333333333333,2.333333333333,22.2996535,114.1675485,33.769016,-118.191604,0.0,0.0
2248,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Seattle,FG_0001,LTL,894.0,EA,894.0,LB,894.0,CFT,0.0,4043886.428098403,0,0.0,0.0,4043886.428098403,2261.681447482328,MI,41.121480863315,HR,10.0,1.0,1.0,42.331551,-83.04664,47.603832,-122.330062,0.0,178800.0
2249,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Seattle,FG_0002,LTL,505.0,EA,505.0,LB,505.0,CFT,0.0,2284298.2619571513,0,0.0,0.0,2284298.2619571513,2261.681447482328,MI,41.121480863315,HR,10.0,1.0,1.0,42.331551,-83.04664,47.603832,-122.330062,0.0,50500.0
2250,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Pittsburgh,FG_0001,LTL,645.0,EA,645.0,LB,645.0,CFT,0.0,309849.3668039218,0,0.0,0.0,309849.3668039218,240.193307599939,MI,4.367151047272,HR,4.195307292467,1.0,1.0,42.331551,-83.04664,40.441694,-79.990086,0.0,129000.0
2251,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Pittsburgh,FG_0002,LTL,729.0,EA,729.0,LB,729.0,CFT,0.0,350201.8424807116,0,0.0,0.0,350201.8424807116,240.193307599939,MI,4.367151047272,HR,4.195307292467,1.0,1.0,42.331551,-83.04664,40.441694,-79.990086,0.0,72900.0
2252,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Raleigh,FG_0001,LTL,501.0,EA,501.0,LB,501.0,CFT,0.0,598483.2117892797,0,0.0,0.0,598483.2117892797,597.288634520239,MI,10.859793354913,HR,5.214948338728,1.0,1.0,42.331551,-83.04664,35.780398,-78.639099,0.0,100200.0
2253,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Raleigh,FG_0002,LTL,862.0,EA,862.0,LB,862.0,CFT,0.0,1029725.6059128925,0,0.0,0.0,1029725.6059128925,597.288634520239,MI,10.859793354913,HR,5.214948338728,1.0,1.0,42.331551,-83.04664,35.780398,-78.639099,0.0,86200.0
2254,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Atlanta,FG_0001,LTL,808.0,EA,808.0,LB,808.0,CFT,0.0,1129637.4560717333,0,0.0,0.0,1129637.4560717333,699.03307925231,MI,12.709692350042,HR,5.677423087511,1.0,1.0,42.331551,-83.04664,33.748992,-84.390264,0.0,161600.0
2255,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Atlanta,FG_0002,LTL,885.0,EA,885.0,LB,885.0,CFT,0.0,1237288.550276589,0,0.0,0.0,1237288.550276589,699.03307925231,MI,12.709692350042,HR,5.677423087511,1.0,1.0,42.331551,-83.04664,33.748992,-84.390264,0.0,88500.0
2256,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Salt Lake City,FG_0001,LTL,628.0,EA,628.0,LB,628.0,CFT,0.0,2186882.9167858716,0,0.0,0.0,2186882.9167858716,1741.148819097032,MI,31.65725125631,HR,10.0,1.0,1.0,42.331551,-83.04664,40.75962,-111.886798,0.0,125600.0
2257,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Salt Lake City,FG_0002,LTL,936.0,EA,936.0,LB,936.0,CFT,0.0,3259430.5893496433,0,0.0,0.0,3259430.5893496433,1741.148819097032,MI,31.65725125631,HR,10.0,1.0,1.0,42.331551,-83.04664,40.75962,-111.886798,0.0,93600.0
2258,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Fresno,FG_0001,LTL,645.0,EA,645.0,LB,645.0,CFT,0.0,2987590.429369767,0,0.0,0.0,2987590.429369767,2315.961573154859,MI,42.108392239179,HR,10.0,1.0,1.0,42.331551,-83.04664,36.739442,-119.784831,0.0,129000.0
2259,3. All 4 MFGs,SinglePeriod,SinglePeriod,CustomerFulfillment,DC_Detroit,CZ_Fresno,FG_0002,LTL,720.0,EA,720.0,LB,720.0,CFT,0.0,3334984.665342997,0,0.0,0.0,3334984.665342997,2315.961573154859,MI,42.108392239179,HR,10.0,1.0,1.0,42.331551,-83.04664,36.739442,-119.784831,0.0,72000.0
2260,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,MFG_Chengdu,Port_Hong Kong,FG_0002,FTL,1207.362398933348,EA,1207.362398933348,LB,1207.362398933348,CFT,0.0,1801380.966865906,0,0.0,0.0,1801380.966865906,994.664605787154,MI,18.084811014312,HR,7.021202753578,1.0,1.0,30.659863,104.063372,22.2996535,114.1675485,0.0,0.0
2261,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,MFG_Shanghai,Port_Hong Kong,FG_0001,FTL,257.440323413287,EA,257.440323413287,LB,257.440323413287,CFT,0.0,344984.8653965024,0,0.0,0.0,344984.8653965024,893.371742293517,MI,16.243122587155,HR,6.560780646789,1.0,1.0,31.2322758,121.4692071,22.2996535,114.1675485,0.0,0.0
2262,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,MFG_Shanghai,Port_Hong Kong,FG_0002,FTL,2825.956401599978,EA,2825.956401599978,LB,2825.956401599978,CFT,0.0,3786944.391214337,0,0.0,0.0,3786944.391214337,893.371742293517,MI,16.243122587155,HR,6.560780646789,1.0,1.0,31.2322758,121.4692071,22.2996535,114.1675485,0.0,0.0
2263,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,MFG_Ho Chi Minh,Port_Kuala Lumpur,FG_0002,FTL,603.681199466674,EA,603.681199466674,LB,603.681199466674,CFT,0.0,666078.4409328852,0,0.0,0.0,666078.4409328852,735.574164554996,MI,13.374075719182,HR,5.843518929795,2.333333333333,2.333333333333,10.7758439,106.7017555,3.1516964,101.6942371,0.0,0.0
2264,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,MFG_Belo Horizonte,Port_Recife,FG_0001,FTL,3863.559676586713,EA,3863.559676586713,LB,3863.559676586713,CFT,0.0,6912227.784589711,0,0.0,0.0,6912227.784589711,1192.721801171774,MI,21.685850930396,HR,7.921462732599,1.0,1.0,-19.9227,-43.9451,-8.0642,-34.8782,0.0,0.0
2265,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,Port_Long Beach,DC_Detroit,FG_0001,FTL,257.440323413287,EA,257.440323413287,LB,257.440323413287,CFT,0.0,897128.3112548733,0,0.0,0.0,897128.3112548733,2323.200704951078,MI,42.240012817292,HR,10.0,1.0,1.0,33.769016,-118.191604,42.331551,-83.04664,128720.16170664356,0.0
2266,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,Port_Long Beach,DC_Detroit,FG_0002,FTL,4637.0,EA,4637.0,LB,4637.0,CFT,0.0,16159022.503287224,0,0.0,0.0,16159022.503287224,2323.200704951078,MI,42.240012817292,HR,10.0,1.0,1.0,33.769016,-118.191604,42.331551,-83.04664,1391100.0,0.0
2267,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,Port_Boston,DC_Detroit,FG_0001,FTL,3863.559676586713,EA,3863.559676586713,LB,3863.559676586713,CFT,0.0,4147633.931967823,0,0.0,0.0,4147633.931967823,715.684373852194,MI,13.012443160949,HR,5.753110790237,1.0,1.0,42.360253,-71.058291,42.331551,-83.04664,1931779.8382933566,0.0
2268,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,Port_Hong Kong,Port_Long Beach,FG_0001,Ocean,257.440323413287,EA,257.440323413287,LB,257.440323413287,CFT,0.0,109257.36205110257,0,0.0,0.0,109257.36205110257,8487.975823096212,MI,154.326833147204,HR,10.0,2.333333333333,2.333333333333,22.2996535,114.1675485,33.769016,-118.191604,0.0,0.0
2269,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,Port_Hong Kong,Port_Long Beach,FG_0002,Ocean,4033.318800533326,EA,4033.318800533326,LB,4033.318800533326,CFT,0.0,1711735.6232883146,0,0.0,0.0,1711735.6232883146,8487.975823096212,MI,154.326833147204,HR,10.0,2.333333333333,2.333333333333,22.2996535,114.1675485,33.769016,-118.191604,0.0,0.0
2270,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,Port_Kuala Lumpur,Port_Long Beach,FG_0002,Ocean,603.681199466674,EA,603.681199466674,LB,603.681199466674,CFT,0.0,310680.75578941376,0,0.0,0.0,310680.75578941376,10292.874983149606,MI,187.143181511811,HR,10.0,2.333333333333,2.333333333333,3.1516964,101.6942371,33.769016,-118.191604,0.0,0.0
2271,3. All 4 MFGs,SinglePeriod,SinglePeriod,Replenishment,Port_Recife,Port_Boston,FG_0001,Ocean,3863.559676586713,EA,3863.559676586713,LB,3863.559676586713,CFT,0.0,941093.6380971259,0,0.0,0.0,941093.6380971259,4871.640232711721,MI,88.575276958395,HR,10.0,2.333333333333,3.285714285714,-8.0642,-34.8782,42.360253,-71.058291,0.0,0.0
